Search Title,Job Title,Company,Location,Salary Min,Salary Max,Category,Created,URL
Global Logistics Coordinator,Production & International Shipping Coordinator,Knowhirematch,"Alpharetta, Fulton County",50000.0,60000.0,Logistics & Warehouse Jobs,2025-07-25T18:23:55Z,https://www.adzuna.com/details/5322472518?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Production & International Shipping Coordinator,Knowhirematch,"Alpharetta, Fulton County",60184.71,60184.71,Logistics & Warehouse Jobs,2025-09-18T23:28:27Z,https://www.adzuna.com/details/5406310824?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Event Coordinator,Dallas,"Mountain View, Santa Clara County",63154.72,63154.72,IT Jobs,2025-09-17T17:15:51Z,https://www.adzuna.com/land/ad/5403568957?se=9K3N6a6W8BGdQKu1GYO5Fg&utm_medium=api&utm_source=866ee2f8&v=28F89412CC2E65C4B431CCB78E4A439B6154AED0
Global Logistics Coordinator,Distribution Coordinator,HF Sinclair,"Petrolia, Butler County",64122.71,64122.71,Logistics & Warehouse Jobs,2025-09-12T05:59:03Z,https://www.adzuna.com/details/5395786627?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Operations Support Specialist,AeroVironment,"Huntsville, Madison County",62400.0,89440.0,IT Jobs,2025-09-06T18:48:31Z,https://www.adzuna.com/details/5387670785?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Logistics Coordinator,Insight Global,"Hanover, Anne Arundel County",36096.87,36096.87,HR & Recruitment Jobs,2025-09-11T08:36:34Z,https://www.adzuna.com/land/ad/5394090371?se=9K3N6a6W8BGdQKu1GYO5Fg&utm_medium=api&utm_source=866ee2f8&v=570D04D61A5772D1CE01B1300E4F56BD525683A4
Global Logistics Coordinator,Marketing Specialist,Courier Network Inc.,"Seybold, Miami-Dade County",54408.93,54408.93,"PR, Advertising & Marketing Jobs",2025-07-29T15:36:26Z,https://www.adzuna.com/details/5326962978?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Warehouse Associate,EOS,"Newark, Alameda County",44193.45,44193.45,Logistics & Warehouse Jobs,2025-09-12T20:49:27Z,https://www.adzuna.com/details/5397006349?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Logistics Coordinator,US Tech Solutions,"Foxboro, Norfolk County",45408.71,45408.71,Logistics & Warehouse Jobs,2025-08-27T17:37:45Z,https://www.adzuna.com/land/ad/5371002543?se=9K3N6a6W8BGdQKu1GYO5Fg&utm_medium=api&utm_source=866ee2f8&v=2959290E6CCDDB5DF3D25B1EE8CFBB118D08845C
Global Logistics Coordinator,Executive Assistant to CEO,C-Suite Assistants,"Grand Central, Manhattan",115000.0,130000.0,Admin Jobs,2025-05-12T05:12:00Z,https://www.adzuna.com/land/ad/5194645011?se=9K3N6a6W8BGdQKu1GYO5Fg&utm_medium=api&utm_source=866ee2f8&v=B4ADA240CE82AD8F8D5B3EC1FD8D8593079E6670
